controlno,Title,Author,Callno,Accession,Copyright,Quantity
102010111022,'College Physics',"Giambattista, Alan",530 G432 07E,36911,2007,1
102010111204,'Physics',"Cutnell, John D.",530 C989 07E,36909,c2007,1
102010111701,'Calculus for business economics and the social and life Science',"Hoffmann, Lawrence D.",515 H699 10E,36910,2010,1
111910152559,'Simplified approaches to differential calculus',"Cabero, Jonathan B.",515.33 C114,"36921, 36922",2010,2
111910152714,'Rudiments of college Algebra and Trigonometry',"Santos, Gil Nonato",512.13 S237,36923,2009,1
111910152830,'College algebra and trigonometry',"Castillo, Leticia L.",512.13 C352,36925,2008,1
111910152931,'Algebra and trigonometry',"Cabero, Jonathan B.",512.13 C114,36924,2008,1
111910153029,'Taste for writing',"Cadbury, Vivian C.",425 C121 10E,36933,2010,1
112014153819,'A guide to meal management and table services',"Soriano, Nora Narvaez",642.6 S714 11E,38863,2011,1
112114083037,'Mathematics of investment with computer Application',"Calmorin, Laurentina, Paler",511 C164 12E,"38898, 38893",2012,2
112114084909,'Elements of investment mathematics',"Ong, Anita C.",511 O58 12E,"38895, 38896",2012,2
112114085207,'Plane trigonometry',"Carpio, Joy N.",516.242 C298 14E,"38894, 38870",c 2014,2
112114093144,'The manga guide to statistics',"Takashi, Shin",519.5 T136 11E,"38770, 38769",2011,2
112114095336,'The world of physics',"Ostdiek, Vern J.",530 O85 12E,"38793, 38794",2012,2
112114095707,'Fundamentals of biology',"Formacion, Minda J",570 F723 11E,38868,2011,1
11416085439,'Beginning algebra',"Gustafson, R. David",512 G982 12E,39354,2012,1
11416085627,'Biology',"Belk, Colleen",570 B432 11E,39362,2011,1
11416085759,'Basic biology',"Obra, Leodencio T.",570 O13 11E,39353,2011,1
11816152839,'Introduction to earth science',"Thompson, Graham R.",550 T471 14E,39350,2014,1
120315125611,'Mathematic of investment',"Del Rosario, Asuncion C. M",511 D364 11E,39420,2011,1
120315125739,'Ecology',"Molles, Manuel C., Jr",577 M726 14E,"39390, 39391",2014,2
120315132219,'Business mathematics',"Del Rosario, Asuncion C. M.",511 D364 10E,39419,2010,1
120315132525,'College algebra',"Del Rosario, Asuncion C. M",512 D364 14E,39421,2014,1
120315132847,'Differential equations',"Cabero, Jonathan B.",515.3 C114 12E,"39328, 39329",2012,2
120910134911,'Trigonometry',"Young, Cynthia",516.24 Y69 10E,36974,2010,1
120910135047,'College algebra',"Mijares, Catalina Dinio",512 M636 09E,"36964, 36965",2009,2
12611093152,'Modern Algebra',"Caras, Madeleine S.",512 C261 08E,36971,2008,1
12611093439,'College Mathematics',"Sta Maria, Antonina C.",510 S232 09E,36973,2009,1
12611093630,'Fundamentals of investments Mathematics',"Ong, Anita C.",511 O58 08E,36969,2008,1
12611093816,'History of modern Mathematics',"Reeves, Donald",500.8 R332 10E,36968,2010,1
31208082617,'A linguistic workbook',"Farmer, Ann K.",410 F233,1339,2001,1
31308161839,'Filipino 2',"Cruz, Cynthia B.",499.216 C937,35203,2007,1
31308162207,'the teaching of science',"Salandanan, Gloria G.",500 S161,"30752, 30876, 32434",1985,3
31308163236,'Conceptual physical science',"Hewitt, Paul G.",500.2 H61,34925,2004,1
31408075918,'Essentials of physical science (worktext)',"Maleneb, Ryan G.",500.2 M245,"34957, 34958",2006,2
31408080221,'Physical science',"Tillery, Bill W.",500.2 T575,34519,2005,1
31408080348,'Physical science',"Tillery, Bill W.",500.2 T575,34924,2005,1
31408090433,'Human behavior and society',"Azanza, Patrick A.",501 A991,892,2001,1
31408090619,'How to use a microscope',"Shepherd, Walter",502.82 S548,"19958, 19959, 19960",1966,3
31408090852,'Sourcebook in science teaching in the Philippines',"Santos, Angeles S.",507 S237,7864,1972,1
31408091030,'Proceedings of the eight Pacific Science Congress of the Pacific Science Association 1953 vol. 1 - VIA',Pacific Science Association,507.2 P117 I-WB,"20732, 20733, 20726, 20725, 20731",1955,5
31408091354,'Illustrate handbook of general science teaching aids',"Alusik, John",507.8 A471,31396,1973,1
31408091806,'General college Mathematics',"Ayres, William L.",510 A985,"18766, 18767",1970,2
31408112149,'Basic Mathematics for college student',"Benigno, Gloria D.",510 B467 RE,918,1993,1
31408112259,'Basic Mathematics for college students',"Benigno, Gloria D.",510 B467,"35050, 35049",2006,2
31408112431,'College Mathematics review',"Blitzer, Robert",510 B649,31935,1987,1
31408135911,'Mathematics',"Bowen, Earl K.",510 B786,"7780, 8139",1963,2
31408140044,'Merriam - Webster''s guide to everyday Math',"Burrell, Brian",510 B969,35015,1998,1
31408140342,'Basic Mathematics operation',"Agcaoli, Zenaida A.",510 A264,"33922, 33923",2002,2
31708075646,'Basic Mathematics',"Calderon, Jose F.",510 C146,32765,1994,1
31708080244,'Basic Mathematics 1',"Calderson, Jose F.",510 C146,32766,1994,1
31708080829,'Functional Mathematics book 1',"Gager, William A.",510 G133,974,1953,1
31708081000,'Success in Mathematics',"Gundlach, Bernard H.",510 G975 TE,"10586, 10588, 10585",1972,3
31708081245,'Mathematics of investment',"Hart, William L.",510 H326,"18146, 18145, 32104",1980,3
31708081452,'Matters mathematical',"Herstein, I. N.",510 H572,3248,1974,1
31708081651,'A primer for calculus',"Holder, Leonard I.",510 H727,"30079, 30076, 30077, 30078",1987,4
31708081951,'Introduction to finite Mathematics',"Kemeny, John G.",510 K31,31950,1957,1
31708082109,'Introduction to technical Mathematics',"Leffin, Walter W.",510 L493,"31701, 31724",1987,2
31708082315,'A survey of finite mathematics',"Marcus, Marvin",510 M322,7777,1969,1
31708082452,'An introduction to finite mathematics',"Meserve, Bruce E.",510 M585,8042,1972,1
31708082851,'Additional mathematics made simple',"Murphy, Patrick",510 M978,31481,1979,1
31708083807,'Business mathematics',"Pasion, Dante T.",510 P282,34277,2005,1
31708083942,'College mathematics',"Rosenberg, R. Robert",510 R813 4E,"18198, 18353",1967,2
31708084116,'College mathematics',"Salamat, Lorina G.",510 S159,32867,1988,1
31708084243,'Elementary modern mathematics with calculus and computer programming',"Slook, Thomas H.",510 S634,31953,1972,1
