controlno,Title,Author,Callno,Accession,Copyright,Quantity
111210141546,"'storey commercial building in San Lorenzo, Gapan CIty'","Tan, Mark Angelo M.",UFS 752.2 T161,36775,2007,1
11816153859,'Introduction to art appreciation',"Ariola, Mariola M.",701 A712 14E,"39281, 39282",2014,2
20811144320,'Kultura at sining (art appreciation)',"Recto, Angel S.",701.1 R311 07E,"36906, 36905",2007,2
52308081527,"'Arts, ideas and civilization'","Hobbs, Jack A.",701 H682,31828,1992,1
52308081714,'The Japanese house',"Takeshi, Nakagawa",720,34297,2005,1
52308082003,'Historic Chinese architecture',TSinghua University,720 T882,35110,1990,1
52308082153,'Handbook on product design and development',"Millevo, Ronnie M.",745.2 M653,"32727, 32739, 32728",1995,3
52308083217,'Teaching the fundamentals of music',"Sorneo, Higino A.",780.7 S714,"32267, 32266, 98, 97",1993,4
52308084135,'Native resistance',"Del Mundo, Clodualdo A.",791.43 D359,33260,1998,1
52308084418,'Classical forms of theater in Asia',"Crame Rogers, Natividad",792 R728,34730,2005,1
52308084701,'The theater experience',"Wilson, Edwin",792 W748,33259,1991,1
52308084834,'Philippine National Dances',"Tolentino, Francisca Reyes",793.3 T649,"32583, 31676, 32763, 32678",1990,4
52308085148,'Brain and brawn basketball',"Lipa, Joe",796.323 L764,32027,1993,1
52308090740,'History of art',"Landy, Jacob",700.7 L264,592,1965,1
52308092622,'American art',"Green, Samuel M.",700.9 G798,34392,1969,1
52308093119,'Art',"Ortiz, Ma. Aurora R.",701 O77,32067,1976,1
52308094334,'Invitation to the gallery',"Phipps, Richard",701 P573,31911,1987,1
52308094545,'Art forms',"Preble, Duane",701 P922,31848,1989,1
52308095019,'Architectural theory of design',"Salvan, George Salinda",721 S182,31462,1986,1
52308102616,'Hospitals and health care facilities',"Redstone, Louis G.",725.51 R321,"18253, 18255, 18254",1978,3
52308103038,'Ms. Pinchpenny''s book of interior design',"Parker, Dorothy",729 P238,"19218, 19219, 19222, 19220",1979,4
52308104618,'Silver',"Redinger, Ruel O.",739.23 R317,"19269, 18974",1981,2
52308105346,'Kiukok drawings',"Torres, Emmanuel",741 T693,34320,1975,1
52308105732,'American picture books from Noah''s Ark to the beast within',"Bader, Barbara",741.642 B134,10424,1976,1
52308110047,'Basic craft techniques',"Karlen, Tommy",745 K18,19858,[19 - ?],1
52308110343,'General shop',"Groneman, Chris A.",745.2 G876,"18368, 18257, 18196, 18194",1969,4
52308110823,'Design in papier mache',"Kenny, Carla",745.542 K34,55,1971,1
52308111223,'A hand weaver''s workbook',"Thorpe, Heather G.",746 T519,"10504, 10505",1956,2
52308111450,'Embroidery',"Dressmann, Cecile",746.44 D771,"18686, 18691",1971,2
52308112558,'Joya drawings',"Duldulao, Manuel D.",759 D881,31532,1973,1
52308112809,'Fundamentals of music',"Rivadelo, Rosita F.",780 R616,"31474, 33701, 30749, 934",1986,4
52308113349,'This is music 8',"Sur, William R.",7807 S961,31363,1965,1
52308113604,'The understanding of music',"Hoffer, Charles R.",781.17 H698,588,1985,1
52308113938,'Adrian Waller''s guide to music',"Waller, Adrian",781.17 W198,32966,1975,1
52308115412,'Music speech high-fidelity',"Strong, William J.",781.23 S924,"31986, 31853",1983,2
52308135715,'Music as you like it',"Moraleda, Jesus Diaz",781.5 M828,8021,1973,1
52308141455,'The house of soul',"Conrad, Music",782.42 C754,7860,[19 - ?],1
52308141715,'Sing out!',"Dykena, Peter W.",782.42 D996,1433,1950,1
52308143211,'Gitanjali (songs offerings)',"Tagore, Rabindranath",782.42954 T128,19982,1973,1
52308143422,'The symphony 1800 - 1900 a Norton music anthology',"Lang, Paul Henry",784 L271,8003,1969,1
52308155607,'A child''s book of music makers',"Frost, Bruno",784.19 F939,20842,1957,1
52308155719,'The Philippines in song and ballad',"Sta. Maria, Felixberto C.",F 784.7 S232,5733,1976,1
52308155924,'The jazz ensemble',"Henry, Robert E.",785.065 H523,"19359, 19360, 19361",1981,3
52308160103,'Cantata No. 4 Christ lag in Todesbanden',"Bach, Johann S.",786.2 B118,8010,1967,1
52308160439,"'Preludes, Opus 28'","Chopin, Frederic",786.2 C549,30386,1973,1
52608080648,'Pioneers in public recreation',"Butler, George D.",790 B985,18412,1965,1
52608081510,'Intramural and recreation progams for schools and colleges',"Kleindienst, Viola",790 K64,8071,1964,1
52608082544,'Movie making in 18 lessons',"Cushman, George",791.43 C986,33302,1971,1
52608082716,'Film and freedom',"De Vega, Guillermo C.",791.43 D489,20316,1975,1
52608082951,'You must remember this... the filming of Casablanca',"Francisco, Charles",791.43 F819,"19046, 19048",1980,2
52608083258,'The hollywood musical',"Mordden, Ethan",791.43 M834,33272,1981,1
52608083450,'John Huston',"Kaminsky, Stuart",791.430 K15,"18708, 18707",1978,2
52608083717,'You can get there from here',"Maclaine, Shirley",791.4302 M161,33953,1975,1
52608084011,'A world on film criticism and comment',"Kauffmann, Stanley",791.437 K21,33723,1966,1
52608084254,'Manual of film reading',"Taddie, Nazareno",791.4375 T121,32973,1973,1
52608084405,'A guide to theatre study',"Cameron, Kenneth M.",792 C182,"18502, 18503",1974,2
52608084551,'The theatre of the absurd',"Esslin, Martin",792 E78,19990,1968,1
52608084723,'Theatre on a shoestring',"Waller, Adrian",792.0222 W198,10378,1975,1
52608084838,'Stage management',"Stern, Lawrence",792.023 S839,31978,1987,1
52608085044,'The essential theatre',"Brockett, Oscar G.",792.09 B864,33297,1976,1
52608085311,'World history of the dance',"Sachs, Curt",792.8 S121,32021,1937,1
52608085433,'Bridge brilliance and blunders',"Miller, Richard A.",795.4 M649 B,"19018, 19019",1979,2
52608085716,'More bridge brilliance and blunders',"Miller, Richard A.",795.4 M649 M,"19116, 19119, 19118, 19117",1976,4
52608085930,'Field Hockey Lactosse June 1976 - June 1978',"Knierim, Helen",796 K86,8179,1976,1
52608091554,'The last legal spitball and other little-known facts about sports',"Seuling, Barbara",796 D496,"7722, 7723, 7724",1975,3
52608091812,'Psychology of sport',"Butt, Dorcas Susan",796.01 B988,18703,1976,1
52608092153,'Drills and fundamentals',"Bee, Clair",796.323 B414,20491,1942,1
52608092507,'Louie in season',"Carnesecca, Lou",796.323 C289,30344,1988,1
52608092941,'Point of attack',"Carson, Harry",796.332 C321,30363,1987,1
52608100045,'Gymnastics for women',"Drury, Blanche Jessen",796.44 D796,31306,1969,1
52608100330,'Sportsmanlike driving',American Automobile Association,796.7 A512,"326, 1269, 1268, 12670",1955,4
52608100712,'The track',"Surface, Bill",798.4 S961,7677,1976,1
52608100902,'Archery',"Richardson, Margherita E.",799.32 R524,33286,1970,1
62008133222,'Musica language and fundamentals',"Gretz, Ronald",780.7 G835,31891,1990,1
70810130500,'Decorating with China and glass',Mogg Caroline Clifton,748.2 M696 04E,36712,2004,1
70810131018,'Table flowers',"Pryke, Paula",745.92 P973 07E,36713,2007,1
