controlno,Title,Author,Callno,Accession,Copyright
51618105654,Managerial economics,"Rees, Hudson",658.15 R328 17E,40380,& Keller
42408101910,"Delicious desserts sweets, pastries, pies","Limhengko, Vicky",641.865 L733,20194,[19 - ?]
42408140813,Handouts in quantitative techniques in business,"Africa, Leonida T.",650 A258,19780,[19 - ?]
42408140813,Handouts in quantitative techniques in business,"Africa, Leonida T.",650 A258,19779,[19 - ?]
42408140813,Handouts in quantitative techniques in business,"Africa, Leonida T.",650 A258,18142,[19 - ?]
42408140813,Handouts in quantitative techniques in business,"Africa, Leonida T.",650 A258,18141,[19 - ?]
52108100326,Marketing principles and their applications,"Gomez, Julita R.",658.8 G633,19790,[19 - ?]
52108100326,Marketing principles and their applications,"Gomez, Julita R.",658.8 G633,19789,[19 - ?]
52208144607,Type book,Lynoscreen Reprographics,686.22 L989,32316,[19 - ?]
52208144029,Science catalogue,Don Bosco Science Instrumentation of Center,681.75 D674,20864,[19 - ?]
52208143515,The world of supreme Persian carpets,"Zephyr Amir, Haji M. K.",677.643 Z57,35109,[19 - ?]
52108100326,Marketing principles and their applications,"Gomez, Julita R.",658.8 G633,18160,[19 - ?]
52108100326,Marketing principles and their applications,"Gomez, Julita R.",658.8 G633,18159,[19 - ?]
42408151744,Office training,"Farol, Honesto F.",651 F237,32105,[19 - ?]
42408101910,"Delicious desserts sweets, pastries, pies","Limhengko, Vicky",641.865 L733,20193,[19 - ?]
42408151744,Office training,"Farol, Honesto F.",651 F237,32063,[19 - ?]
42108114831,Help a drug dependent,Dangerous Drug Board,615.58 D182,31018,[19 - ?}
70809104649,Bentahan,"Domingo, James Cristopher D.",657 D671 II,36001,[200_]
70809104649,Bentahan,"Domingo, James Cristopher D.",657 D671 II,36000,[200_]
71709132236,Philippine accounting standards and Philippine financial reporting standards,Philippine Accounting Standards (PSA),657 P551 SE II,36082,[200_]
71709132236,Philippine accounting standards and Philippine financial reporting standards,Philippine Accounting Standards (PSA),657 P551 SE II,36084,[200_]
70809092532,"Hairy Potter, the twilight edition","Domingo, James Christopher D.",657.904 D671 H,36033,[200_]
70809092532,"Hairy Potter, the twilight edition","Domingo, James Christopher D.",657.904 D671 H,36032,[200_]
71709132236,Philippine accounting standards and Philippine financial reporting standards,Philippine Accounting Standards (PSA),657 P551 SE II,36083,[200_]
70417150619,A study on accounting for partnerships and corporations,"Reyes, Virgilio D.",657.7 R457 17E,39946,17E
70417150619,A study on accounting for partnerships and corporations,"Reyes, Virgilio D.",657.7 R457 17E,39947,17E
42408143650,Our business life,"Jones, Lloyd L.",650 J77,1285,1936
42408083044,Your home and you,"Green, Carlotta C.",640 G795,1117,1950
52208144245,Making useful things of wood,"Gottshall, Franklin H.",684.08 G685,5679,1950
52208141702,General metals,"Feirer, John L.",671 F299,18395,1952
52208141702,General metals,"Feirer, John L.",671 F299,18340,1952
42108141015,Essential urology,"Colby, Fletcher H.",616.6 C686,33045,1953
43008152010,Gregg shorthand manual simplified functional method,"Leslie, Louis A.",653.427 L635 FM 55E,20917,1955
42208105650,Diseases of field crops,"Dickson, James G.",632 D554,19452,1956
43008104140,Patnubay sa pagmamakinilya,The NTC Polestar,652.3 N277,19507,1956
43008103958,Mastering typing,Monarch Press,652.3 M735,19516,1957
42408082859,The experimental control of plant growth,"Went, Frints W.",639.99 W477,10686,1957
42108110849,Calisthenics and marching tactics,"Bartolome, C. C.",613.714 B262,7771,1957
50908144545,Integrated auditing,"Peloubet, Sidney W.",657.45 P392,10620,1958
50908144545,Integrated auditing,"Peloubet, Sidney W.",657.45 P392,10621,1958
42108145106,Audiology,"Newby, Hayes A.",617.8 N547,33046,1958
51908085135,Business conditions analysis,"Lewis, John P.",658.312 L674,19740,1959
51608142411,Budgeting principles and practice,"Heiser, Herman C.",658.154 H473,10687,1959
42108114306,"Devils, drugs and doctors","Haggard, Howard W.",615.5 H141,33368,1959
51908104907,Operations research,"Sasieni, Maurice",658.4034 S252,19606,1959
42108140857,Nutritional deficiency disease - pathogenesis and diagnosis,"Jolliffe, Norman",616.39 J75,20899,1959
52208142202,Modern wrought iron furniture,"Frisbie, Ned",671.52 F917,31312,1959
50908144136,Auditing principles and procedures,"Holmes, Arthur W.",657.45 H745,32935,1959
52108112002,Marketing,Marketing,658.8 P558,30991,1960
42908143055,Secretarial office practice,"Agnew, Peter L.",651.374 A273,33047,1960
43008085557,Business communication,"Brennan, Lawrence D.",651.75 B838,214,1960
52208143629,How to use business machines,"Fasnacht, Harold D.",681.145 F542,19519,1962
42108114130,Medicine and man,"Calder, Ritchie",615.5 C146,33364,1962
52208114032,Chemical reaction engineering,"Levenspiel, Octave",660 L657,33383,1962
52208144757,The complete book of silk screen printing production,"Biegeleisen, J. I.",686.2316 B586,49,1963
51208141340,Introduction to industrial management,"Folts, Franklin E.",658 F681,30944,1963
51208141340,Introduction to industrial management,"Folts, Franklin E.",658 F681,19586,1963
51208141340,Introduction to industrial management,"Folts, Franklin E.",658 F681,19585,1963
51608154503,Executive''s guide to handling people,"Dyer, Frederick C.",658.3 D996,31612,1963
52208105111,Retail merchandising,"Wingate, John W.",658.85 W769 6E,18854,1963
52208105111,Retail merchandising,"Wingate, John W.",658.85 W769 6E,18855,1963
51208134637,Management,"Bowman, Donald M.",658 B787,31798,1963
42108103122,Foundations of nutrition,"Taylor, Clara Mae",613.3 T239,12766,1963
43008145721,Gregg transcription,"Leslie, Louis A.",653 L635 GT,30388,1963
51208141340,Introduction to industrial management,"Folts, Franklin E.",658 F681,19584,1963
42108111024,Isometric exercises,"Wallis, Earl L.",613.7149 W214,769,1964
51908082644,Personnel administration,"Waite, William W.",658.3 W145,20272,1964
42208103548,The car makers,"Turner, Graham",629.222,31183,1964
42108111024,Isometric exercises,"Wallis, Earl L.",613.7149 W214,768,1964
52208110733,Know your merchandise,"Wingate, Isabel B.",658.87 W769 7E,30387,1964
52108155831,Fundamentals of selling,"Wingate, John W.",658.81 W769,18867,1964
52108155831,Fundamentals of selling,"Wingate, John W.",658.81 W769,18868,1964
52208110733,Know your merchandise,"Wingate, Isabel B.",658.87 W769 7E,18858,1964
52208110733,Know your merchandise,"Wingate, Isabel B.",658.87 W769 7E,18859,1964
42408150517,Business behavior,"Russon, Allien R.",650.1 R969,30400,1964
42408150517,Business behavior,"Russon, Allien R.",650.1 R969,18860,1964
50908145200,Auditing,"Silvoso, Joseph A.",657.45 S587,18802,1965
43008144644,Gregg shorthand manual simplified functional method,"Leslie, Louis A.",653 :635 FM,19529,1965
52108111642,Marketing sales promotion advertising,"Noland, Carroll A.",658.8 N787 7E,18872,1965
51908081938,Handbook on work simplification,Philippine Republic Budget Commission,658.3 P551,F-13,1965
43008112744,Gregg shorthand,"Gregg, John Robert",653 G819 GS,31609,1965
43008145206,Gregg shorthand simplified for colleges,"Leslie, Louis A.",653 L635 II,19528,1965
51308151820,Busines finance a management approach,"Brandt, Louis K.",658.15 B821,5541,1965
52108111642,Marketing sales promotion advertising,"Noland, Carroll A.",658.8 N787 7E,18871,1965
51308151820,Busines finance a management approach,"Brandt, Louis K.",658.15 B821,20913,1965
52108111246,Manual marketing sales promotion advertising,"Noland, Carroll A.",658.8 N787 ML,20198,1965
52108111642,Marketing sales promotion advertising,"Noland, Carroll A.",658.8 N787 7E,18857,1965
43008151736,Gregg speed studies,"Gregg, John Robert",653.427 G819,19530,1965
52108111642,Marketing sales promotion advertising,"Noland, Carroll A.",658.8 N787 7E,18873,1965
52108111642,Marketing sales promotion advertising,"Noland, Carroll A.",658.8 N787 7E,18856,1965
52108111642,Marketing sales promotion advertising,"Noland, Carroll A.",658.8 N787 7E,18874,1965
43008112744,Gregg shorthand,"Gregg, John Robert",653 G819 GS,20259,1965
42208110728,"Principles, equipment and systems for corn harvesting","Johnson, William H.",633.15 J71,8100,1966
52108090640,Marketing management in action,"Buell, Victor P.",658.8 B928,32971,1966
42208110728,"Principles, equipment and systems for corn harvesting","Johnson, William H.",633.15 J71,7806,1966
42208110728,"Principles, equipment and systems for corn harvesting","Johnson, William H.",633.15 J71,7805,1966
42408115055,The knack of selling yourself,"Mangan, James T.",648.7 M277,33374,1966
42208110728,"Principles, equipment and systems for corn harvesting","Johnson, William H.",633.15 J71,10360,1966
42208110728,"Principles, equipment and systems for corn harvesting","Johnson, William H.",633.15 J71,10359,1966
52108084853,Selling your crafts,"Nelson, Norbert N.",658.75 N428,51,1967
42208135122,The American family garden book,"Sara, Dorothy",635.9 S243,1375,1967
42208104738,Great men of modern agriculture,"Cannon, Grant G.",630.92 C226,10522,1967
52108082851,Business ideas,"Price, Stephen S.",658.73 P946,31605,1967
42908153217,Secretarial,"Veloro, A. Trinidad",651.374 V443 67E,7980A,1967
51908110922,The effective executive,"Drucker, Peter F.",658.409 D794,32735,1967
42208104408,No easy harvest,"Millikan, Max F.",630 M654,8169,1967
43008150045,Touch shorthand keyboard and theory book I,"Nixdorf, Marion E.",653 N736,19520,1967
42908142635,Clerical office practice,"Agnew, Peter L.",651.37 A273,20883,1967
42408133258,Influences on parent behavior,"Stolz, Lois Meek",649 S876,8005,1967
51908081211,How to sekk footwear profitably,"Pareti, John J.",658.3 P228,30401,1967
51908110922,The effective executive,"Drucker, Peter F.",658.409 D794,32733,1967
51908110922,The effective executive,"Drucker, Peter F.",658.409 D794,32734,1967
50908141057,Bookkeeping made simple,"Fields, Louis W.",657.2 F462,32228,1967
51908110922,The effective executive,"Drucker, Peter F.",658.409 D794,32754,1967
52208141403,The planning of iron and steelworks,"Liith, Frederick A. K.",669.1 L777,30979,1967
42208104738,Great men of modern agriculture,"Cannon, Grant G.",630.92 C226,10521,1967
43008085359,English for business,"Stewart, Marie M.",651.7 S851,20245,1968
43008101705,The technique of clear writing,"Gunning, Robert",652 G976,19142,1968
43008101705,The technique of clear writing,"Gunning, Robert",652 G976,18778,1968
42408160533,Applied secretarial practice,"Gregg, John Robert",651.3471 G819,182563,1968
52208111255,Retail merchandising,"Wingate, John W.",658.87 W769 7E,18870,1968
51208114719,Realistic cost estimating for manufacturing,"Vernon, Ivan R.",657.867 V541,31089,1968
51908115040,Production management,"Mayer, Raymond",658.5 M468 2E,19582,1968
43008103843,Typing 1 basic course,"Lloyd, Allan C.",652.3 L793,19525,1968
52208141307,The complete book of pottery making,"Kenny, John B.",666.3 K36,54,1968
41708140151,Speak your way to success,"Sager, Arthur W.",658.452 S129,19289,1968
42408151857,Office practice fundamentals,"Gregg, John Robert",651 G819,34092,1968
42208085803,Machine design,"Black, Paul H.",621.815 B627,30957,1968
42408151857,Office practice fundamentals,"Gregg, John Robert",651 G819,32058,1968
42408160533,Applied secretarial practice,"Gregg, John Robert",651.3471 G819,182564,1968
41708140151,Speak your way to success,"Sager, Arthur W.",658.452 S129,18777,1968
43008103843,Typing 1 basic course,"Lloyd, Allan C.",652.3 L793,19524,1968
42208090416,Principles of electric power transmission,"Woodruff, L. F.",621.85 W893,32940,1968
52108142659,"Marketing an integrated, analytical approach","Taylor, Weldon J.",658.8 T247,8084,1969
42208085247,Refrigeration on fishing vessels,"Merritt, J. H.",621.56 M512,3194,1969
52208080938,Marketing research,"Drake, Jerry E.",658.83 D761,8174,1969
42208083314,Digital principles and applications,"Malvino, Albert Paul",621.3815 M262,18299,1969
42208083314,Digital principles and applications,"Malvino, Albert Paul",621.3815 M262,18298,1969
51608110402,Financial planning and control,"Taylor, A. H.",658.15 T238,32995,1969
42108162538,Understanding electricity and electronics,"Buban, Peter",621.381 B917,18386,1969
51608094758,Corporate financial management,"Kent, Raymond P.",658.15 K37,5749,1969
42108163221,Transistor electronics,"Gerrish, Howard H.",621.381 G378,31364,1969
42108162538,Understanding electricity and electronics,"Buban, Peter",621.381 B917,18380,1969
50908143714,Auditing theory,"Casiño, Jesus A.",657.45 C339,19665,1969
52208145941,Pipe trades pocket manual,"Frankland, Thomas W.",696.2,30934,1969
42108102406,"Proceedings of the seminar on production of protein-rich foods from local sources Jan. 23-25, 1969",CEU Research & Development Center Division of Natural Science,613.282 C397,32528,1969
50908143714,Auditing theory,"Casiño, Jesus A.",657.45 C339,10661,1969
50908143714,Auditing theory,"Casiño, Jesus A.",657.45 C339,10662,1969
50908143714,Auditing theory,"Casiño, Jesus A.",657.45 C339,18818,1969
50908143714,Auditing theory,"Casiño, Jesus A.",657.45 C339,19663,1969
50908143714,Auditing theory,"Casiño, Jesus A.",657.45 C339,19664,1969
52208113353,Effective public relations,"Cutlip, Scott M.",659.2 C989 3E,195979,1969
42408101311,The cooking of Vienna''s empire,"Wechsberg, Joseph",641.59 W386,31407,1969
42408100541,The cooking of China,"Hahn, Emily",641.59 H148,31406,1969
43008090252,Business writing,"Janis, J. Harold",651.75 J33,873,1970
50208083928,Students transcript of Gregg shorthand for colleges,"Leslie, Louis A.",653.427 L635 DJS,19834,1970
43008090252,Business writing,"Janis, J. Harold",651.75 J33,32381,1970
50208083928,Students transcript of Gregg shorthand for colleges,"Leslie, Louis A.",653.427 L635 DJS,19835,1970
50208083928,Students transcript of Gregg shorthand for colleges,"Leslie, Louis A.",653.427 L635 DJS,19836,1970
42108134630,New safety and first-aid,"Gardner, A. Ward",616.0252 G226,20631,1970
50208083928,Students transcript of Gregg shorthand for colleges,"Leslie, Louis A.",653.427 L635 DJS,19832,1970
42408100747,The cooking of Italy,"Root, Waverley",641.59 R782,1094,1970
51208151408,Systems and procedures,"Lazzaro, Victor",658 L432 2E,19013,1970
42908142848,Clerical record keeping,"Baron, Harold",651.37 B265 II I 3E,20885,1970
51208151408,Systems and procedures,"Lazzaro, Victor",658 L432 2E,19598,1970
50208083928,Students transcript of Gregg shorthand for colleges,"Leslie, Louis A.",653.427 L635 DJS,19833,1970
42408144212,Introduction to modern business,"Musselman, Vernon A.",650 M989,18997,1970
42908142848,Clerical record keeping,"Baron, Harold",651.37 B265 II I 3E,20886,1970
51608093649,Mathematics of finance,"Cissell, Robert",658.15 C579,5375,1970
50208083928,Students transcript of Gregg shorthand for colleges,"Leslie, Louis A.",653.427 L635 DJS,19831,1970
50208083928,Students transcript of Gregg shorthand for colleges,"Leslie, Louis A.",653.427 L635 DJS,19509,1970
42108142849,The cancerous diseases,"Moore, George E.",616.994 M822,32581,1970
42408144212,Introduction to modern business,"Musselman, Vernon A.",650 M989,18996,1970
42908142848,Clerical record keeping,"Baron, Harold",651.37 B265 II I 3E,32933,1970
42108110712,Body contouring and conditioning through movement,"Wessel, Janet A.",613.71 W515,19178,1970
42108081438,"Health - drugs, drinking, driving, smoking - and you","Thomas, Lydia A.",613 T458,20169,1970
43008143447,Gregg transcription for colleges,"Hosler, Russell",653 H826,19545,1971
42208105020,How to work with tools and wood,"Campbell, Robert",631.304 C189,33380,1971
43008102333,Typing for everyone,"Levine, Nathan",652.3 L665 TE,19000,1971
